compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1813,1.813,56.0,0.2,0.0,0.0,0.0,0.0,0.5
2,2357,2.357,60.0,18.1,110.1,0.0,0.0,0.0,0.5
3,2902,2.902,59.0,20.1,110.3,0.0,0.0,0.0,0.5
4,3535,3.535,53.0,15.7,94.6,0.0,0.0,0.0,-0.0
5,4170,4.17,53.0,18.0,94.6,0.0,0.0,0.0,0.1
6,4715,4.715,54.0,20.5,110.1,0.0,0.0,0.0,0.2
7,5439,5.439,51.0,14.5,82.8,26.9,-8.5,14.3,-0.1
8,5984,5.984,54.0,19.3,110.1,0.0,0.0,0.0,-0.0
9,6528,6.528,53.0,20.0,110.3,29.8,-1.5,13.4,0.1
10,7162,7.162,53.0,17.8,94.5,31.2,0.5,7.4,-0.1
11,7707,7.707,54.0,17.4,110.5,29.0,-1.6,7.4,0.4
12,8251,8.251,50.0,19.5,110.3,0.0,0.0,0.0,0.6
13,8885,8.885,51.0,17.4,94.5,28.4,-3.5,6.4,0.2
14,9430,9.43,54.0,20.9,110.3,0.0,0.0,0.0,0.2
15,10065,10.065,42.0,18.8,94.5,0.0,0.0,0.0,-0.3
16,10608,10.608,39.0,17.9,110.5,0.0,0.0,0.0,-0.2
17,12423,12.423,50.0,2.2,33.1,30.2,-1.7,52.3,0.3
18,12875,12.875,53.0,18.3,132.5,31.2,0.5,9.4,-0.1
19,13329,13.329,58.0,22.5,132.2,0.0,0.0,0.0,0.3
20,13873,13.873,57.0,25.8,110.3,31.2,0.5,7.4,0.0
21,14326,14.326,63.5,25.6,132.5,0.0,0.0,0.0,1.6
22,14870,14.87,63.5,27.1,110.1,0.0,0.0,0.0,0.5
23,15415,15.415,63.5,27.4,110.3,0.0,0.0,0.0,0.2
24,15959,15.959,61.0,28.3,110.3,0.0,0.0,0.0,0.1
25,16502,16.502,60.0,26.3,110.3,0.0,0.0,0.0,0.0
26,17046,17.046,59.0,24.0,110.3,0.0,0.0,0.0,-0.0
27,19224,19.224,45.0,2.3,27.6,0.0,0.0,0.0,0.0
28,19768,19.768,58.0,18.6,110.1,0.0,0.0,0.0,0.3
29,20312,20.312,62.0,26.2,110.5,0.0,0.0,0.0,0.6
30,20856,20.856,53.0,27.0,110.1,-24.7,18.6,5.7,0.4
31,21400,21.4,49.0,25.8,110.5,-24.7,18.6,8.7,0.2
32,21945,21.945,48.0,25.4,110.1,0.0,0.0,0.0,0.1
33,22489,22.489,61.0,22.6,110.3,0.0,0.0,0.0,0.5
34,23033,23.033,57.0,23.7,110.1,0.0,0.0,0.0,0.3
35,23578,23.578,58.0,23.8,110.3,0.0,0.0,0.0,0.4
36,24122,24.122,62.0,24.8,110.3,0.0,0.0,0.0,0.5
37,24667,24.667,63.5,24.8,110.1,0.0,0.0,0.0,0.7
38,25212,25.212,63.5,26.5,110.1,0.0,0.0,0.0,0.6
39,25754,25.754,63.5,26.0,110.5,0.0,0.0,0.0,0.5
40,26299,26.299,63.5,26.6,110.1,0.0,0.0,0.0,0.5
41,26843,26.843,63.5,27.7,110.3,0.0,0.0,0.0,0.6
42,27388,27.388,62.0,27.5,110.3,-24.7,18.6,7.7,0.5
43,27932,27.932,54.0,27.2,110.3,-24.7,18.6,7.7,0.3
44,28386,28.386,61.0,26.1,132.2,0.0,0.0,0.0,0.4
45,28930,28.93,59.0,24.7,110.3,0.0,0.0,0.0,0.5
46,29656,29.656,47.0,15.5,82.6,-24.7,18.6,7.7,0.1
